date,Community name,COMM_CODE,Number of taxable accounts,Median assessed value
01/01/2016 12:00:00 AM,Marlborough Park,MPK,2904,347000
01/01/2016 12:00:00 AM,Martindale,MRT,3760,349000
01/01/2016 12:00:00 AM,Mayfair,MAF,156,1150000
01/01/2016 12:00:00 AM,Mayland Heights,MAL,2024,440000
01/01/2016 12:00:00 AM,Mckenzie Lake,MCK,4583,494000
01/01/2016 12:00:00 AM,Mckenzie Towne,MCT,8541,366000
01/01/2016 12:00:00 AM,Meadowlark Park,MEA,277,628000
01/01/2016 12:00:00 AM,Midnapore,MID,2528,387000
01/01/2016 12:00:00 AM,Millrise,MLR,3275,383000
01/01/2016 12:00:00 AM,Mission,MIS,2859,331000
01/01/2016 12:00:00 AM,Monterey Park,MOR,3224,385000
01/01/2016 12:00:00 AM,Montgomery,MON,1713,454000
01/01/2016 12:00:00 AM,Mount Pleasant,MOP,2276,582000
01/01/2016 12:00:00 AM,Lower Mount Royal,LMR,1655,313000
01/01/2016 12:00:00 AM,New Brighton,NEB,4152,451000
01/01/2016 12:00:00 AM,Nolan Hill,NOL,1339,495000
01/01/2016 12:00:00 AM,North Glenmore Park,NGM,891,630000
01/01/2016 12:00:00 AM,North Haven,NHV,822,480000
01/01/2016 12:00:00 AM,North Haven Upper,NHU,245,510000
01/01/2016 12:00:00 AM,Oakridge,OAK,2256,502000
01/01/2016 12:00:00 AM,Ogden,OGD,2888,344000
01/01/2016 12:00:00 AM,Palliser,PAL,1408,485000
01/01/2016 12:00:00 AM,Panorama Hills,PAN,9097,519000
01/01/2016 12:00:00 AM,Parkdale,PKD,1017,620000
01/01/2016 12:00:00 AM,Parkhill/Stanley Park,PKH,715,660000
01/01/2016 12:00:00 AM,Parkland,PKL,1545,563000
01/01/2016 12:00:00 AM,Patterson,PAT,2074,410000
01/01/2016 12:00:00 AM,Penbrooke Meadows,PEN,2853,308000
01/01/2016 12:00:00 AM,Pineridge,PIN,3160,329000
01/01/2016 12:00:00 AM,Point Mckay,POI,848,426000
01/01/2016 12:00:00 AM,Pump Hill,PUM,434,942000
01/01/2016 12:00:00 AM,Queensland,QLD,1824,366000
01/01/2016 12:00:00 AM,Ramsay,RAM,813,456000
01/01/2016 12:00:00 AM,Ranchlands,RAN,2762,354000
01/01/2016 12:00:00 AM,Red Carpet/Mountview Mobile Park,RED,1054,58000
01/01/2016 12:00:00 AM,Renfrew,REN,3161,447000
01/01/2016 12:00:00 AM,Richmond,RIC,1957,637000
01/01/2016 12:00:00 AM,Rideau Park,RID,372,399000
01/01/2016 12:00:00 AM,Riverbend,RIV,3432,421000
01/01/2016 12:00:00 AM,Rocky Ridge,ROC,3908,472000
01/01/2016 12:00:00 AM,Rosedale,RDL,582,923000
01/01/2016 12:00:00 AM,Rosemont,RMT,437,609000
01/01/2016 12:00:00 AM,Rosscarrock,RCK,841,544000
01/01/2016 12:00:00 AM,Roxboro,ROX,159,1270000
01/01/2016 12:00:00 AM,Royal Oak,ROY,5117,515000
01/01/2016 12:00:00 AM,Rundle,RUN,3045,367000
01/01/2016 12:00:00 AM,Rutland Park,RUT,449,565000
01/01/2016 12:00:00 AM,Saddle Ridge,SAD,5061,408000
01/01/2016 12:00:00 AM,Sage Hill,SGH,2227,461000
01/01/2016 12:00:00 AM,Sandstone Valley,SAN,2109,421000
01/01/2016 12:00:00 AM,Scarboro,SCA,330,963000
01/01/2016 12:00:00 AM,Scarboro/Sunalta West,SSW,161,832000
01/01/2016 12:00:00 AM,Scenic Acres,SCE,2905,528000
01/01/2016 12:00:00 AM,Shaganappi,SHG,632,588000
01/01/2016 12:00:00 AM,Shawnee Slopes,SHS,1021,535000
01/01/2016 12:00:00 AM,Shawnessy,SHN,3604,404000
01/01/2016 12:00:00 AM,Sherwood,SHW,1440,574000
01/01/2016 12:00:00 AM,Signal Hill,SIG,6088,575000
01/01/2016 12:00:00 AM,Silver Springs,SIL,3468,476000
01/01/2016 12:00:00 AM,Silverado,SVO,2501,442000
01/01/2016 12:00:00 AM,Skyview Ranch,SKR,3527,387000
01/01/2016 12:00:00 AM,Somerset,SOM,3323,413000
01/01/2016 12:00:00 AM,South Calgary,SOC,2197,517000
01/01/2016 12:00:00 AM,Southview,SOV,609,361000
01/01/2016 12:00:00 AM,Southwood,SOW,2195,400000
01/01/2016 12:00:00 AM,Springbank Hill,SPH,3771,696000
01/01/2016 12:00:00 AM,Spruce Cliff,SPR,2856,409000
01/01/2016 12:00:00 AM,St. Andrews Heights,STA,536,739000
01/01/2016 12:00:00 AM,Strathcona Park,STR,2376,633000
01/01/2016 12:00:00 AM,Sunalta,SNA,1289,253000
01/01/2016 12:00:00 AM,Sundance,SDC,3208,475000
01/01/2016 12:00:00 AM,Sunnyside,SSD,2002,401000
01/01/2016 12:00:00 AM,Taradale,TAR,4543,372000
01/01/2016 12:00:00 AM,Temple,TEM,3405,353000
01/01/2016 12:00:00 AM,Thorncliffe,THO,2913,402000
01/01/2016 12:00:00 AM,Tuscany,TUS,6978,517000
01/01/2016 12:00:00 AM,Tuxedo Park,TUX,1926,464000
01/01/2016 12:00:00 AM,University Heights,UNI,506,774000
01/01/2016 12:00:00 AM,Upper Mount Royal,UMR,912,1620000
01/01/2016 12:00:00 AM,Valley Ridge,VAL,2110,581000
01/01/2016 12:00:00 AM,Varsity,VAR,5464,511000
01/01/2016 12:00:00 AM,Vista Heights,VIS,637,366000
01/01/2016 12:00:00 AM,Walden,WAL,1253,434000
01/01/2016 12:00:00 AM,West Hillhurst,WHL,2468,676000
01/01/2016 12:00:00 AM,West Springs,WSP,3258,648000
01/01/2016 12:00:00 AM,West Springs,WSP,3415,644000
01/01/2016 12:00:00 AM,Westgate,WGT,1152,516000
01/01/2016 12:00:00 AM,Whitehorn,WHI,3490,357000
01/01/2016 12:00:00 AM,Whitehorn,WHI,3492,357000
01/01/2016 12:00:00 AM,Wildwood,WLD,1037,644000
01/01/2016 12:00:00 AM,Wildwood,WLD,1037,644000
01/01/2016 12:00:00 AM,Willow Park,WIL,2003,498000
01/01/2016 12:00:00 AM,Willow Park,WIL,2008,498000
01/01/2016 12:00:00 AM,Windsor Park,WND,1758,255000
01/01/2016 12:00:00 AM,Windsor Park,WND,1785,257000
01/01/2016 12:00:00 AM,Winston Heights/Mountview,WIN,1472,492000
01/01/2016 12:00:00 AM,Winston Heights/Mountview,WIN,1496,493000
01/01/2016 12:00:00 AM,Woodbine,WBN,3337,450000
01/01/2016 12:00:00 AM,Woodlands,WOO,2066,450000
01/01/2016 12:00:00 AM,Woodlands,WOO,2067,450000
01/01/2017 12:00:00 AM,Abbeydale,ABB,1804,305000
01/01/2017 12:00:00 AM,Acadia,ACA,3854,385000
01/01/2017 12:00:00 AM,Albert Park/Radisson Heights,ALB,1918,318000
01/01/2017 12:00:00 AM,Altadore,ALT,2855,738000
01/01/2017 12:00:00 AM,Alyth/Bonnybrook,AYB,3,104000
01/01/2017 12:00:00 AM,Applewood Park,APP,1795,362000
01/01/2017 12:00:00 AM,Arbour Lake,ARB,4332,449000
01/01/2017 12:00:00 AM,Aspen Woods,ASP,3371,798000
01/01/2017 12:00:00 AM,Auburn Bay,AUB,5755,463000
01/01/2017 12:00:00 AM,Banff Trail,BNF,1248,580000
01/01/2017 12:00:00 AM,Bankview,BNK,2249,265000
01/01/2017 12:00:00 AM,Bayview,BYV,248,987000
01/01/2017 12:00:00 AM,Beddington Heights,BED,4071,346000
01/01/2017 12:00:00 AM,Belaire,BEL,158,1640000
01/01/2017 12:00:00 AM,Beltline,BLN,17776,306000
01/01/2017 12:00:00 AM,Bonavista Downs,BDO,368,407000
01/01/2017 12:00:00 AM,Bowness,BOW,3786,354000
01/01/2017 12:00:00 AM,Braeside,BRA,2536,373000
01/01/2017 12:00:00 AM,Brentwood,BRE,3410,495000
01/01/2017 12:00:00 AM,Bridgeland/Riverside,BRD,3245,401000
01/01/2017 12:00:00 AM,Bridlewood,BRI,4756,381000
01/01/2017 12:00:00 AM,Britannia,BRT,288,1475000
01/01/2017 12:00:00 AM,Cambrian Heights,CAM,701,540000
01/01/2017 12:00:00 AM,Canyon Meadows,CAN,3136,418000
01/01/2017 12:00:00 AM,Capitol Hill,CAP,1449,535000
01/01/2017 12:00:00 AM,Castleridge,CAS,1657,317000
01/01/2017 12:00:00 AM,Cedarbrae,CED,2344,358000
01/01/2017 12:00:00 AM,Chaparral,CHA,4400,468000
01/01/2017 12:00:00 AM,Charleswood,CHW,1321,546000
01/01/2017 12:00:00 AM,Chinatown,CHN,1216,335000
01/01/2017 12:00:00 AM,Chinook Park,CHK,525,673000
01/01/2017 12:00:00 AM,Christie Park,CHR,725,647000
01/01/2017 12:00:00 AM,Citadel,CIT,3619,431000
01/01/2017 12:00:00 AM,Cityscape,CSC,806,348000
01/01/2017 12:00:00 AM,Cliff Bungalow,CLI,844,296000
01/01/2017 12:00:00 AM,Coach Hill,COA,1482,393000
01/01/2017 12:00:00 AM,Collingwood,COL,839,537000
01/01/2017 12:00:00 AM,Copperfield,CPF,5483,373000
01/01/2017 12:00:00 AM,Coral Springs,COR,1474,471000
01/01/2017 12:00:00 AM,Cougar Ridge,CGR,2361,559000
01/01/2017 12:00:00 AM,Country Hills,COU,1562,373000
01/01/2017 12:00:00 AM,Country Hills Village,CHV,2231,260000
01/01/2017 12:00:00 AM,Coventry Hills,COV,5510,394000
01/01/2017 12:00:00 AM,Cranston,CRA,7127,450000
01/01/2017 12:00:00 AM,Crescent Heights,CRE,3101,374000
01/01/2017 12:00:00 AM,Crestmont,CRM,487,607000
01/01/2017 12:00:00 AM,Currie Barracks,CUR,887,730000
01/01/2017 12:00:00 AM,Dalhousie,DAL,3672,440000
01/01/2017 12:00:00 AM,Deer Ridge,DRG,1383,347000
01/01/2017 12:00:00 AM,Deer Run,DRN,2101,387000
01/01/2017 12:00:00 AM,Diamond Cove,DIA,271,521000
01/01/2017 12:00:00 AM,Discovery Ridge,DIS,2278,663000
01/01/2017 12:00:00 AM,Douglasdale/Glen,DDG,5122,460000
01/01/2017 12:00:00 AM,Dover,DOV,4136,285000
01/01/2017 12:00:00 AM,Downtown Commercial Core,DNC,3209,151000
01/01/2017 12:00:00 AM,Downtown East Village,DNE,1863,333000
01/01/2017 12:00:00 AM,Downtown West End,DNW,2362,339000
01/01/2017 12:00:00 AM,Eagle Ridge,EAG,108,1470000
01/01/2017 12:00:00 AM,Eau Claire,EAU,2805,469000
01/01/2017 12:00:00 AM,Edgemont,EDG,5363,552000
01/01/2017 12:00:00 AM,Elbow Park,EPK,1180,1260000
01/01/2017 12:00:00 AM,Elboya,EYA,690,742000
01/01/2017 12:00:00 AM,Erin Woods,ERI,2349,309000
01/01/2017 12:00:00 AM,Erlton,ERL,1118,406000
01/01/2017 12:00:00 AM,Evanston,EVN,5148,458000
01/01/2017 12:00:00 AM,Evergreen,EVE,7968,460000
01/01/2017 12:00:00 AM,Fairview,FAI,1254,395000
01/01/2017 12:00:00 AM,Falconridge,FAL,2867,301000
01/01/2017 12:00:00 AM,Forest Heights,FHT,1891,290000
01/01/2017 12:00:00 AM,Forest Lawn,FLN,1952,308000
01/01/2017 12:00:00 AM,Garrison Green,GAG,985,569000
01/01/2017 12:00:00 AM,Garrison Woods,GAW,1964,520000
01/01/2017 12:00:00 AM,Glamorgan,GLA,2349,417000
01/01/2017 12:00:00 AM,Glenbrook,GBK,2342,396000
01/01/2017 12:00:00 AM,Glendale,GDL,980,532000
01/01/2017 12:00:00 AM,Greenview,GRV,749,215000
01/01/2017 12:00:00 AM,Greenwood/Greenbriar,GRE,501,42000
01/01/2017 12:00:00 AM,Hamptons,HAM,2475,649000
01/01/2017 12:00:00 AM,Harvest Hills,HAR,2656,413000
01/01/2017 12:00:00 AM,Hawkwood,HAW,3499,471000
01/01/2017 12:00:00 AM,Haysboro,HAY,3339,392000
01/01/2017 12:00:00 AM,Hidden Valley,HID,3849,412000
01/01/2017 12:00:00 AM,Highland Park,HPK,1329,468000
01/01/2017 12:00:00 AM,Highwood,HIW,808,457000
01/01/2017 12:00:00 AM,Hillhurst,HIL,2628,574000
01/01/2017 12:00:00 AM,Hounsfield Heights/Briar Hill,HOU,1266,633000
01/01/2017 12:00:00 AM,Huntington Hills,HUN,4561,379000
01/01/2017 12:00:00 AM,Inglewood,ING,2340,409000
01/01/2017 12:00:00 AM,Kelvin Grove,KEL,577,739000
01/01/2017 12:00:00 AM,Killarney/Glengarry,KIL,3197,538000
01/01/2017 12:00:00 AM,Kincora,KCA,2402,497000
01/01/2017 12:00:00 AM,Kingsland,KIN,1404,429000
01/01/2017 12:00:00 AM,Lake Bonavista,LKB,5122,554000
01/01/2017 12:00:00 AM,Lakeview,LKV,1989,546000
01/01/2017 12:00:00 AM,Legacy,LEG,1840,390000
01/01/2017 12:00:00 AM,Lincoln Park,LPK,1493,255000
01/01/2017 12:00:00 AM,Lower Mount Royal,LMR,1751,298000
01/01/2017 12:00:00 AM,MacEwan,MAC,1693,399000
01/01/2017 12:00:00 AM,Mahogany,MAH,3202,502000
01/01/2017 12:00:00 AM,Manchester,MAN,189,161000
01/01/2017 12:00:00 AM,Maple Ridge,MPL,806,489000
01/01/2017 12:00:00 AM,Marlborough,MRL,2571,343000
01/01/2017 12:00:00 AM,Marlborough Park,MPK,2904,338000
01/01/2017 12:00:00 AM,Martindale,MRT,3760,344000
01/01/2017 12:00:00 AM,Mayfair,MAF,156,1050000
01/01/2017 12:00:00 AM,Mayland Heights,MAL,2024,425000
01/01/2017 12:00:00 AM,McKenzie Lake,MCK,4583,465000
01/01/2017 12:00:00 AM,McKenzie Towne,MCT,8541,353000
01/01/2017 12:00:00 AM,Meadowlark Park,MEA,277,615000
01/01/2017 12:00:00 AM,Midnapore,MID,2526,371000
01/01/2017 12:00:00 AM,Millrise,MLR,3275,374000
01/01/2017 12:00:00 AM,Mission,MIS,2977,307000
01/01/2017 12:00:00 AM,Monterey Park,MOR,3224,378000
01/01/2017 12:00:00 AM,Montgomery,MON,1721,433000
01/01/2017 12:00:00 AM,Mount Pleasant,MOP,2289,571000
01/01/2017 12:00:00 AM,New Brighton,NEB,4305,429000
01/01/2017 12:00:00 AM,Nolan Hill,NOL,1888,469000
01/01/2017 12:00:00 AM,North Glenmore Park,NGM,890,594000
01/01/2017 12:00:00 AM,North Haven,NHV,822,463000
01/01/2017 12:00:00 AM,North Haven Upper,NHU,245,472000
01/01/2017 12:00:00 AM,Oakridge,OAK,2256,483000
01/01/2017 12:00:00 AM,Ogden,OGD,2883,331000
01/01/2017 12:00:00 AM,Palliser,PAL,1408,467000
01/01/2017 12:00:00 AM,Panorama Hills,PAN,9100,495000
01/01/2017 12:00:00 AM,Parkdale,PKD,1115,605000
01/01/2017 12:00:00 AM,Parkhill/Stanley Park,PKH,828,619000
01/01/2017 12:00:00 AM,Parkland,PKL,1545,543000
01/01/2017 12:00:00 AM,Patterson,PAT,2074,389000
01/01/2017 12:00:00 AM,Penbrooke Meadows,PEN,2851,300000
01/01/2017 12:00:00 AM,Pineridge,PIN,3160,322000
01/01/2017 12:00:00 AM,Point Mckay,POI,848,412000
01/01/2017 12:00:00 AM,Pump Hill,PUM,434,866000
01/01/2017 12:00:00 AM,Queensland,QLD,1824,356000
01/01/2017 12:00:00 AM,Ramsay,RAM,815,450000
01/01/2017 12:00:00 AM,Ranchlands,RAN,2762,340000
01/01/2017 12:00:00 AM,Red Carpet/Mountview Mobile Park,RED,1055,66000
01/01/2017 12:00:00 AM,Redstone,RSN,1016,407000
01/01/2017 12:00:00 AM,Renfrew,REN,3249,428000
01/01/2017 12:00:00 AM,Richmond,RIC,2000,609000
01/01/2017 12:00:00 AM,Rideau Park,RID,371,385000
01/01/2017 12:00:00 AM,Riverbend,RIV,3432,406000
01/01/2017 12:00:00 AM,Rocky Ridge,ROC,3939,458000
01/01/2017 12:00:00 AM,Rosedale,RDL,582,898000
01/01/2017 12:00:00 AM,Rosemont,RMT,437,589000
01/01/2017 12:00:00 AM,Rosscarrock,RCK,851,497000
01/01/2017 12:00:00 AM,Roxboro,ROX,153,1160000
01/01/2017 12:00:00 AM,Royal Oak,ROY,5117,493000
01/01/2017 12:00:00 AM,Rundle,RUN,3045,357000
01/01/2017 12:00:00 AM,Rutland Park,RUT,451,524000
01/01/2017 12:00:00 AM,Saddle Ridge,SAD,5358,404000
01/01/2017 12:00:00 AM,Sage Hill,SGH,2625,441000
01/01/2017 12:00:00 AM,Sandstone Valley,SAN,2109,405000
01/01/2017 12:00:00 AM,Scarboro,SCA,330,888000
01/01/2017 12:00:00 AM,Scarboro/Sunalta West,SSW,161,761000
01/01/2017 12:00:00 AM,Scenic Acres,SCE,2905,509000
01/01/2017 12:00:00 AM,Shaganappi,SHG,746,573000
01/01/2017 12:00:00 AM,Shawnee Slopes,SHS,1029,503000
01/01/2017 12:00:00 AM,Shawnessy,SHN,3604,392000
01/01/2017 12:00:00 AM,Sherwood,SHW,1587,543000
01/01/2017 12:00:00 AM,Signal Hill,SIG,6092,555000
01/01/2017 12:00:00 AM,Silver Springs,SIL,3469,459000
01/01/2017 12:00:00 AM,Silverado,SVO,2558,421000
01/01/2017 12:00:00 AM,Skyview Ranch,SKR,3877,362000
01/01/2017 12:00:00 AM,Somerset,SOM,3322,398000
01/01/2017 12:00:00 AM,South Calgary,SOC,2316,500000
01/01/2017 12:00:00 AM,Southview,SOV,609,355000
01/01/2017 12:00:00 AM,Southwood,SOW,2195,389000
01/01/2017 12:00:00 AM,Springbank Hill,SPH,3779,672000
01/01/2017 12:00:00 AM,Spruce Cliff,SPR,2856,383000
01/01/2017 12:00:00 AM,St. Andrews Heights,STA,537,689000
01/01/2017 12:00:00 AM,Strathcona Park,STR,2376,595000
01/01/2017 12:00:00 AM,Sunalta,SNA,1291,241000
01/01/2017 12:00:00 AM,Sundance,SDC,3208,455000
01/01/2017 12:00:00 AM,Sunnyside,SSD,2122,379000
01/01/2017 12:00:00 AM,Taradale,TAR,4544,368000
01/01/2017 12:00:00 AM,Temple,TEM,3404,342000
01/01/2017 12:00:00 AM,Thorncliffe,THO,2913,385000
01/01/2017 12:00:00 AM,Tuscany,TUS,7019,491000
01/01/2017 12:00:00 AM,Tuxedo Park,TUX,1940,450000
01/01/2017 12:00:00 AM,University Heights,UNI,507,745000
01/01/2017 12:00:00 AM,Upper Mount Royal,UMR,917,1540000
01/01/2017 12:00:00 AM,Valley Ridge,VAL,2112,561000
01/01/2017 12:00:00 AM,Varsity,VAR,5659,495000
01/01/2017 12:00:00 AM,Vista Heights,VIS,637,353000
01/01/2017 12:00:00 AM,Walden,WAL,1481,431000
01/01/2017 12:00:00 AM,West Hillhurst,WHL,2484,640000
01/01/2017 12:00:00 AM,West Springs,WSP,3413,607000
01/01/2017 12:00:00 AM,Westgate,WGT,1152,486000
01/01/2017 12:00:00 AM,Whitehorn,WHI,3490,350000
01/01/2017 12:00:00 AM,Wildwood,WLD,1036,616000
01/01/2017 12:00:00 AM,Willow Park,WIL,2003,483000
01/01/2017 12:00:00 AM,Windsor Park,WND,1770,239000
01/01/2017 12:00:00 AM,Winston Heights/Mountview,WIN,1443,483000
01/01/2017 12:00:00 AM,Woodbine,WBN,3336,435000
01/01/2017 12:00:00 AM,Woodlands,WOO,2066,433000
